"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"2299",3.2,3.11513000000001,2.94683544303798,3.06657890433914,3.01583551515008,3.01540922589399,3.06126062290574,2.99739749331236,3.03896920194641,2.99261879920959
"2300",2.3,2.44360333333333,2.30754716981132,2.44672412626215,2.68406560581367,2.67143844746255,2.71198975722601,2.51970854254912,2.71774924082696,2.35150575637817
"2301",3.7,3.43536333333334,3.15416666666667,3.01672587137211,2.76091380404344,2.75703219015977,2.77571821308585,2.7447641419525,2.76236186657256,3.06256699562073
"2302",3.2,3.05949000000001,3.1022813688213,2.6835725005617,2.8202621255813,2.81145444446263,2.84131214873782,2.8603066609342,2.80141971008454,2.79308986663818
"2303",2.9,3.00179000000001,3.15805396565821,3.08235582377734,2.95965781745024,2.95522476318707,2.94974708857594,3.01309989774764,2.97481829981533,3.08603644371033
"2304",3.3,3.21205333333333,3.30461095100865,3.06790676029242,3.14629690241079,3.15295453781171,3.14016197905596,3.12420067367583,3.17305216319655,3.22383308410645
"2305",2.7,2.80847333333334,2.89651162790698,2.90237832309099,2.8928014080709,2.89790462719628,2.92845554675461,2.83382463217944,2.91145645104332,2.95405602455139
"2306",3.1,2.95205666666666,2.70272373540856,2.80312044402097,2.75755188394541,2.76211426145686,2.74600849601356,2.82540041987135,2.79042212361496,2.73798632621765
"2307",2,2.18585333333333,2.52842105263158,2.47382855350096,2.53414356008889,2.53731494870287,2.55064865612537,2.51944207402811,2.57277644182365,2.44065237045288
"2308",3.2,3.10855333333334,3.33564231738035,3.23539599935914,3.25675291946483,3.25949885073154,3.25678330098869,3.17807212493104,3.22053310504553,3.17766857147217
"2309",3,3.05333,3.30461095100865,3.2510175957193,3.07365253066345,3.07349196176617,3.10502704182563,3.05872752437245,3.12838822000068,3.10040497779846
"2310",3.1,3.06012666666666,3.07530120481928,3.04230555311266,3.12142287855651,3.12434788990566,3.10692364138718,3.09876511085154,3.10488890703222,3.02920770645142
"2311",3.9,3.31389,2.52204301075269,2.74889090591931,2.81309489798613,2.8104896678129,2.83207808711745,2.72824105002247,2.8370840010017,2.97955441474915
