"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"1868",2.4,2.64603333333333,2.66508620689655,2.64159322947084,2.79792359102929,2.79044168740523,2.78957681242037,2.28990042791966,2.78139316792102,2.46824407577515
"1869",2.9,2.99545,2.99304743339831,2.82131341720316,2.82519785809577,2.83232720439366,2.86788804129728,2.75786234626002,2.78128522826298,3.04150938987732
"1870",2.8,3.05586666666667,3.31250000000001,3.11146658666746,2.96986815589758,2.98200674626732,3.01134498897739,3.0116497412646,3.0263164975415,3.15228700637817
"1871",3.7,3.17099,2.90021881838074,3.22974698100072,2.96229180147878,2.94249475006689,3.01095614803063,3.35285356471356,3.02304557299976,2.84829473495483
"1872",3.8,3.21692,3.31250000000001,3.51271254571002,3.38277848270867,3.44153647360608,3.37180710530394,3.27305913869107,3.23652269689714,3.64274668693542
"1873",3.2,2.97349428571428,3.31250000000001,3.11194973686711,3.27214813821825,3.27685855404666,3.27869211542358,3.43417778888075,3.34466560220695,3.1002209186554
"1874",3.2,3.48359333333333,3.65368731563422,3.53138830515705,3.35921002776044,3.35991700011894,3.33074826474743,3.48487688350148,3.3982320360153,3.48235678672791
"1875",2.9,2.87633666666666,2.75630136986302,2.8723758463257,2.76851937738677,2.74437820561263,2.77036346029079,2.85196301328271,2.70967282224419,2.90095543861389
"1876",2.8,2.63513333333334,2.75630136986302,2.90866794318403,2.61253854406267,2.61510603853432,2.63701688839304,2.61478414640152,2.61946880383407,2.89814424514771
"1877",3.1,3.02254,2.99304743339831,2.99240992900154,3.01485987846021,3.02530238899317,3.03709782935307,3.29577748060168,3.05023209607838,2.93113398551941
"1878",2.6,2.73534666666667,2.75630136986302,2.77719064811647,2.86612175355277,2.86328159456106,2.86306524080896,2.91941289872764,2.89381503955899,2.84515118598938
"1879",2.9,3.28233666666667,3.65368731563422,3.46839363546068,3.64691638793491,3.64413425674665,3.61614044190212,3.38954261328775,3.6509134550465,3.54813027381897
"1880",2.9,3.02825666666667,3.1956678700361,2.7752143285204,2.89836413876838,2.90319253831471,2.88002394053298,2.68349915758591,2.91638744973905,2.96503734588623
"1881",4.3,3.34400333333333,3.26235408560311,3.43969633565054,3.56568242637746,3.56305125657308,3.53212046150711,4.05782099200002,3.57980500517695,3.43370819091797
"1882",3.1,2.9534,2.75630136986302,2.6913691939267,2.69770874947375,2.68245733751721,2.69801995905297,2.94387192191852,2.72278295707848,2.95458078384399
"1883",3.5,3.20019666666667,3.31250000000001,3.25944065499629,3.43904681466585,3.45011661741966,3.42565174601479,3.24981705058849,3.49694173373,3.26177668571472
"1884",2.4,2.82401333333333,2.75630136986302,3.02444538528563,3.20763730662692,3.19661440199905,3.1330669879222,3.31674016751462,3.19879750667821,2.78944158554077
"1885",3.5,3.10535333333333,3.31861804222649,3.04405311545444,3.1000520884622,3.07609842204462,3.09262016914312,2.98764792225804,3.13053201384238,3.12233924865723
"1886",2.4,2.81601333333333,2.99304743339831,2.80906920138959,2.8667696494691,2.86209295602755,2.91062394296204,2.72755132043147,2.88750299141,2.91790413856506
"1887",4.2,3.42269666666667,3.26235408560311,3.45025759593705,3.20842748430642,3.22963145195363,3.19919172107014,3.2120806041453,3.16493834759397,3.2073872089386
"1888",3.8,3.37474333333333,3.31250000000001,3.57996782513753,3.29942784424454,3.30062640358441,3.30428907301396,3.38470629710508,3.32993625324107,3.41065740585327
"1889",2,2.65106666666667,2.75630136986302,2.74160942389589,3.07156743221654,3.06734079990283,3.08307122343938,3.00235830831965,3.13654042961548,2.82643413543701
"1890",3.8,3.04536333333333,2.90021881838074,3.31840606534471,3.44339416900647,3.41408965272714,3.38998578908236,3.52799840541668,3.51868394866743,3.20987153053284
"1891",4.1,3.31399333333333,3.26235408560311,3.50706658328261,3.63663493306737,3.61751141894238,3.58238798699561,3.98681055310464,3.60626297247365,3.54231429100037
"1892",3.8,3.11245333333333,3.31250000000001,3.15606749776086,3.03276996038119,3.03704836376766,3.04220935792305,3.18613228014532,3.09002501865991,3.0638952255249
"1893",3.7,3.27661,3.31861804222649,3.53666844174627,3.64119461593988,3.65047120487169,3.63234190055894,3.32470390763041,3.64456395905776,3.25308418273926
"1894",3.3,2.95439666666667,2.99304743339831,3.21274898844992,3.14481560408135,3.15955133988744,3.16346360557842,3.34839655516652,3.23853372574374,3.39174675941467
"1895",4.3,3.49603666666666,3.26235408560311,3.42347159761532,3.11894981684869,3.15594395379501,3.20182399502604,3.19030147788355,3.05160271353443,3.42255544662476
"1896",3.1,2.80606,2.75630136986302,2.85986274053822,2.8803293534425,2.87283967971797,2.85974491816095,3.1468280003025,2.89672135880809,2.737624168396
"1897",3.7,3.29655333333334,3.31861804222649,3.42434336653288,3.60009733761529,3.55078984785999,3.56242127126009,3.4856394213167,3.59149559185964,3.50458645820618
"1898",3.1,3.2055,2.99304743339831,3.00501214342162,3.15268689623081,3.15487573902611,3.16496400006322,3.26846210773623,3.17755577416341,3.3150680065155
"1899",3.8,3.41805,3.26235408560311,3.66545987408887,3.78367792626613,3.81628572014402,3.77995351899007,3.82373304735908,3.85488251700418,3.47031712532043
"1900",2.3,2.57306333333333,2.75630136986302,2.69380480779205,2.85301236886743,2.84407279313228,2.87195506026895,2.62822238452251,2.89102234901961,2.63691329956055
"1901",2.9,2.50838666666667,2.66508620689655,2.51006684871298,2.71498493928159,2.68382156124791,2.72055338212233,2.93875653718311,2.70392157278827,2.60675835609436
"1902",2.8,2.80104666666667,3.2552380952381,2.63097841644834,3.02579631608531,3.01374344691017,3.02473722818677,2.94960522530866,3.10288919307093,2.74903440475464
"1903",2.3,2.81292666666667,2.75630136986302,2.83889382986609,2.929028904885,2.90370417314762,2.89487433302573,2.98577745377948,2.942698094813,2.86956429481506
"1904",3.2,3.06243333333333,3.31250000000001,3.05195268626098,3.00765827080048,3.01985287063803,3.03603843483049,3.44404827535968,3.12391755690943,3.12704014778137
"1905",3,2.79474666666667,2.75630136986302,2.69363226330384,2.82065209880586,2.79895317765251,2.82525638920281,2.83731211079972,2.80407335037588,2.56636452674866
"1906",2.5,2.80887666666666,2.99304743339831,2.80920608949782,2.87182227988555,2.88822601274941,2.91779871500342,2.69817323908357,2.90008173115911,2.42288613319397
"1907",4.1,3.53828,3.31861804222649,3.90385110436111,4.20611723042801,4.21144135351315,4.1767577296339,3.80071822764062,4.08057015645831,3.79873371124268
"1908",2.2,2.53643666666666,2.75630136986302,2.72832154748065,2.69439595748919,2.67823262988035,2.71888188080323,2.56615842343062,2.73528244737305,2.70353412628174
"1909",3.1,3.14036,3.31250000000001,3.15281842990996,3.19661881433952,3.19712388465067,3.19910003991415,3.29091681565148,3.25306812778659,3.118079662323
"1910",3,2.64561666666666,2.75630136986302,2.74345412635081,2.87765641852028,2.92126647476873,2.86598661195609,2.9841167835533,2.79018574694114,2.84959936141968
"1911",2.3,2.85317333333333,2.99304743339831,2.92053670216862,2.79512635568734,2.80798074305692,2.82026830474878,2.87265455931444,2.77414722385517,2.86780881881714
"1912",2.9,3.12580999999999,3.31250000000001,2.90869329057158,2.8133910811662,2.80177220183494,2.82995433227492,3.0269991553096,2.835017810602,3.02737379074097
"1913",2.3,3.01939,2.99304743339831,2.89067553393565,2.76808168850072,2.7616596557744,2.81042829212513,2.67708899787435,2.83287059390247,2.76989030838013
"1914",2.9,2.74023666666666,2.90021881838074,2.75344037147535,2.7056853673112,2.73006004123221,2.7365919684743,2.77273077386218,2.74778611503106,2.77343440055847
"1915",2.2,2.85456333333333,2.75630136986302,2.59486522665968,2.74031419941441,2.71866180749515,2.74198649689397,2.78847779767699,2.81122388221219,2.72159457206726
"1916",2.8,3.39627666666667,3.31250000000001,3.29377708911003,3.00520645964656,3.00577678950524,3.02199754160071,3.15144914468739,3.04173243276951,3.25559520721436
"1917",3,2.8574,2.99304743339831,2.96504603836835,2.83893550178651,2.82970009122005,2.85183819946805,2.96355044537588,2.87987904030598,2.95773649215698
"1918",3.3,3.35907,3.31250000000001,3.20985791066047,3.06219093721369,3.05609036557993,3.05862257781872,3.20819404041166,3.14870448266447,3.33544635772705
